,SampleID,Treatment,Replicate,Sex,TimeSinceEclosion,ExpRound,KDtime,Count,WingLength,Trial
32,F.019,Control,F,F,48h,1,67.4666667,1,3.038,J
33,F.020,Control,F,M,48h,1,47.6166667,1,2.607,K
34,F.021,Control,F,M,48h,1,54.4166667,1,2.664,K
35,F.022,Control,F,F,48h,1,52.8,1,NA,K
36,F.023,Control,F,M,48h,1,48.2166667,1,2.701,L
37,F.024,Control,F,M,48h,1,63.3333333,1,NA,L
38,F.025,Control,F,F,48h,1,49.0333333,1,NA,M
39,F.026,Control,F,M,48h,1,48.5833333,1,NA,M
40,F.027,Control,F,M,48h,1,47.6166667,1,NA,N
41,F.028,Control,F,F,48h,1,54.9666667,1,3.243,N
42,F.029,Control,F,F,48h,1,41.9166667,1,3.122,O
43,F.030,Control,F,F,48h,1,53.7333333,1,3.243,O
44,F.031,Control,F,F,48h,1,43.4666667,1,3.178,O
45,F.032,Control,F,F,48h,1,57.3833333,1,3.125,O
46,F.035,Control,F,F,48h,1,50.65,1,3.198,Q
47,F.036,Control,F,F,48h,1,39.6666667,1,3.223,R
48,F.037,Control,F,M,48h,1,44.2333333,1,2.685,R
49,F.038,Control,F,F,48h,1,41.7333333,1,3.218,S
50,G.003,Heat-Selected,G,F,48h,1,41.85,1,NA,C
51,G.004,Heat-Selected,G,F,48h,1,52.3333333,1,2.37,D
52,G.007,Heat-Selected,G,M,48h,1,58.8166667,1,2.516,F
53,G.016,Heat-Selected,G,F,48h,1,47.3,1,2.701,Q
54,G.017,Heat-Selected,G,F,48h,1,56.25,1,NA,Q
55,G.018,Heat-Selected,G,M,48h,1,53.2,1,2.372,R
56,G.019,Heat-Selected,G,F,48h,1,53.8333333,1,2.606,S
57,G.020,Heat-Selected,G,M,48h,1,43.3,1,2.442,S
58,H.005,Heat-Selected,H,F,48h,1,52.5666667,1,2.702,C
59,H.006,Heat-Selected,H,F,48h,1,60.7666667,1,2.768,C
60,H.007,Heat-Selected,H,F,48h,1,58.45,1,2.7,D
61,H.008,Heat-Selected,H,M,48h,1,42.8333333,1,2.492,D
62,H.010,Heat-Selected,H,F,48h,1,51.25,1,2.8,F
63,H.020,Heat-Selected,H,M,48h,1,42.0166667,1,2.224,Q
64,H.021,Heat-Selected,H,F,48h,1,54.8333333,1,NA,R
65,H.022,Heat-Selected,H,M,48h,1,42.6333333,1,2.248,R
66,H.023,Heat-Selected,H,F,48h,1,44.5666667,1,NA,S
67,H.025,Heat-Selected,H,F,48h,1,44.75,1,2.365,T
68,I.001,Control,I,M,48h,2,43.9666667,1,2.539,U
69,J.001,Control,J,M,48h,2,58.3333333,1,NA,U
70,J.003,Control,J,F,48h,2,44.0333333,1,3.065,V
71,J.004,Heat-Selected,K,F,48h,2,34.1166667,1,NA,W
72,M.001,Control,M,M,48h,3,61.15,1,2.556,Z
73,M.002,Control,M,M,48h,3,41.3333333,1,NA,AA
74,M.003,Control,M,M,48h,3,46.6666667,1,NA,AA
75,M.004,Control,M,F,48h,3,67.6166667,1,2.965,AB
76,M.005,Control,M,M,48h,3,59.5,1,2.662,AB
77,M.006,Control,M,M,48h,3,59.8333333,1,2.664,AC
78,M.007,Control,M,F,72h,3,50.8166667,1,3.046,AD
79,M.008,Control,M,M,72h,3,58.5,1,2.496,AD
80,M.009,Control,M,M,72h,3,51.4166667,1,2.563,AE
81,M.010,Control,M,M,72h,3,41.6166667,1,2.516,AF
82,M.011,Control,M,M,72h,3,44.95,1,2.565,AF
83,M.017,Control,M,F,72h,3,48.7333333,1,3.082,AI
84,M.018,Control,M,M,72h,3,51.7166667,1,2.402,AJ
85,M.019,Control,M,F,72h,3,48.35,1,3.056,AJ
86,M.020,Control,M,M,72h,3,39.2833333,1,2.61,AK
87,M.022,Control,M,M,72h,3,56.8833333,1,2.589,AL
88,M.023,Control,M,F,72h,3,50.5,1,3.266,AL
89,M.024,Control,M,M,72h,3,40.2,1,2.604,AM
90,M.025,Control,M,F,72h,3,46.9333333,1,3.044,AM
91,M.026,Control,M,M,72h,3,55.9333333,1,NA,AN
92,M.027,Control,M,F,72h,3,50.5,1,3.13,AN
93,M.028,Control,M,M,72h,3,41.7666667,1,3.086,AO
94,M.029,Control,M,F,72h,3,55.45,1,3.166,AO
95,M.030,Control,M,M,72h,3,33.3833333,1,2.81,AP
96,M.031,Control,M,F,72h,3,45.35,1,3.129,AP
97,M.032,Control,M,M,72h,3,41.4166667,1,NA,AQ
98,M.033,Control,M,F,72h,3,42.1333333,1,3.193,AQ
99,M.034,Control,M,F,72h,3,56.8,1,3.215,AR
100,M.035,Control,M,F,72h,3,51.5833333,1,3.197,AR
101,M.036,Control,M,F,72h,3,50.2666667,1,NA,AS
102,M.037,Control,M,F,72h,3,43.2333333,1,3.08,AS
103,M.038,Control,M,F,72h,3,33.5333333,1,2.86,AT
104,M.039,Control,M,F,72h,3,44.4166667,1,3.106,AT
105,M.040,Control,M,M,72h,3,48.7666667,1,NA,AU
106,M.041,Control,M,F,72h,3,55.7166667,1,NA,AU
107,N.001,Control,N,M,48h,3,43.8,1,2.468,AA
108,N.002,Control,N,M,48h,3,45.6166667,1,NA,AA
109,N.003,Control,N,M,48h,3,50.8333333,1,2.674,AA
110,N.004,Control,N,F,48h,3,45.05,1,NA,AB
111,N.005,Control,N,M,48h,3,61.5333333,1,NA,AB
112,N.006,Control,N,F,48h,3,50.3666667,1,NA,AC
113,N.007,Control,N,M,48h,3,45.85,1,NA,AC
114,N.008,Control,N,M,72h,3,48.1333333,1,2.604,AD
115,N.009,Control,N,M,72h,3,41.3666667,1,2.441,AD
116,N.010,Control,N,M,72h,3,52.4833333,1,2.619,AE
117,N.011,Control,N,M,72h,3,50.2,1,2.567,AE
118,N.012,Control,N,M,72h,3,51.3666667,1,2.411,AF
119,N.013,Control,N,M,72h,3,47.4666667,1,2.361,AF
120,N.018,Control,N,M,72h,3,39.9333333,1,2.52,AI
121,N.019,Control,N,F,72h,3,52.6666667,1,3.136,AI
122,N.020,Control,N,M,72h,3,49.85,1,2.653,AJ
123,N.021,Control,N,F,72h,3,46.1,1,3.265,AJ
124,N.022,Control,N,M,72h,3,43.9833333,1,2.508,AK
125,N.023,Control,N,F,72h,3,32.7,1,NA,AK
126,N.024,Control,N,M,72h,3,52.8333333,1,NA,AL
127,N.025,Control,N,F,72h,3,39,1,NA,AL
128,N.026,Control,N,M,72h,3,37.5333333,1,2.415,AM
129,N.027,Control,N,F,72h,3,54.2666667,1,3.264,AM
130,N.028,Control,N,M,72h,3,55.0166667,1,2.551,AN
131,N.029,Control,N,F,72h,3,53.7666667,1,NA,AN
132,N.030,Control,N,M,72h,3,59.4833333,1,2.534,AO
133,N.032,Control,N,M,72h,3,52.0333333,1,2.499,AP
134,N.033,Control,N,F,72h,3,44.3333333,1,3.242,AP
135,N.034,Control,N,M,72h,3,44.6333333,1,2.597,AQ
136,N.035,Control,N,F,72h,3,36.8833333,1,3.188,AQ
137,N.036,Control,N,M,72h,3,63.55,1,2.428,AR
138,N.037,Control,N,F,72h,3,39.5333333,1,3.237,AR
139,N.038,Control,N,M,72h,3,47.9333333,1,2.714,AS
140,N.039,Control,N,F,72h,3,39.3,1,3.362,AS
141,N.040,Control,N,F,72h,3,42.8,1,NA,AT
142,N.041,Control,N,F,72h,3,47.5,1,3.033,AT
143,N.042,Control,N,M,72h,3,57.3,1,NA,AU
144,N.043,Control,N,F,72h,3,45.3,1,NA,AU
145,N.044,Control,N,F,72h,3,45.8833333,1,NA,AU
146,N.045,Control,N,F,72h,3,44.5333333,1,NA,AU
147,O.001,Heat-Selected,O,M,48h,3,54.4333333,1,NA,Z
148,O.002,Heat-Selected,O,M,48h,3,59.4166667,1,2.329,AA
149,O.003,Heat-Selected,O,M,48h,3,59.1,1,NA,AB
150,O.004,Heat-Selected,O,M,48h,3,54.6,1,2.458,AC
151,O.005,Heat-Selected,O,M,48h,3,49.5333333,1,2.281,AC
152,O.006,Heat-Selected,O,M,72h,3,61.7666667,1,NA,AD
153,O.007,Heat-Selected,O,M,72h,3,46.2166667,1,2.327,AD
154,O.008,Heat-Selected,O,M,72h,3,57.0333333,1,2.312,AE
155,O.009,Heat-Selected,O,M,72h,3,40.4166667,1,NA,AE
156,O.010,Heat-Selected,O,M,72h,3,40.9833333,1,NA,AF
157,O.011,Heat-Selected,O,M,72h,3,58.5833333,1,NA,AF
158,O.012,Heat-Selected,O,M,72h,3,43.4166667,1,2.355,AG
159,O.013,Heat-Selected,O,F,72h,3,41.45,1,2.838,AG
160,O.014,Heat-Selected,O,M,72h,3,39.2166667,1,NA,AH
161,O.015,Heat-Selected,O,F,72h,3,50.5,1,NA,AH
162,O.016,Heat-Selected,O,M,72h,3,47.2333333,1,NA,AI
163,O.017,Heat-Selected,O,F,72h,3,43.5,1,2.873,AI
164,O.018,Heat-Selected,O,M,72h,3,41.5,1,2.354,AJ
165,O.019,Heat-Selected,O,M,72h,3,42.0166667,1,NA,AK
166,O.020,Heat-Selected,O,F,72h,3,42.9,1,2.638,AK
167,O.022,Heat-Selected,O,F,72h,3,51.25,1,2.88,AL
168,O.023,Heat-Selected,O,M,72h,3,50.8666667,1,2.299,AM
169,O.024,Heat-Selected,O,F,72h,3,42.7833333,1,2.779,AM
170,O.025,Heat-Selected,O,M,72h,3,59.3833333,1,2.196,AN
171,O.026,Heat-Selected,O,F,72h,3,49.6333333,1,2.446,AN
172,O.027,Heat-Selected,O,M,72h,3,40.6166667,1,2.325,AO
173,O.028,Heat-Selected,O,F,72h,3,44,1,2.56,AO
174,O.030,Heat-Selected,O,F,72h,3,53.0166667,1,2.622,AP
175,O.031,Heat-Selected,O,M,72h,3,38,1,NA,AQ
176,O.032,Heat-Selected,O,F,72h,3,47.7666667,1,NA,AQ
177,O.033,Heat-Selected,O,M,72h,3,38.4,1,2.252,AR
178,O.034,Heat-Selected,O,F,72h,3,53.4666667,1,2.721,AR
179,O.035,Heat-Selected,O,M,72h,3,47.1333333,1,2.336,AS
180,O.036,Heat-Selected,O,F,72h,3,48.65,1,2.487,AS
181,O.037,Heat-Selected,O,M,72h,3,49.75,1,NA,AT
182,O.038,Heat-Selected,O,F,72h,3,38.4333333,1,NA,AT
183,O.039,Heat-Selected,O,F,72h,3,36.95,1,NA,AT
184,O.040,Heat-Selected,O,F,72h,3,49.8,1,NA,AU
185,O.041,Heat-Selected,O,F,72h,3,63.5,1,NA,AU
186,P.001,Heat-Selected,I,M,48h,3,43.9333333,1,2.379,Z
187,P.002,Heat-Selected,P,M,48h,3,49.4833333,1,2.431,Z
188,P.003,Heat-Selected,P,M,72h,3,44.9666667,1,NA,Z
189,P.004,Heat-Selected,P,M,48h,3,63.5833333,1,NA,Z
190,P.005,Heat-Selected,P,M,72h,3,52.8333333,1,2.371,Z
191,P.006,Heat-Selected,I,M,72h,3,47.5,1,2.553,Z
192,P.007,Heat-Selected,P,M,72h,3,51.9833333,1,2.413,AA
193,P.008,Heat-Selected,P,M,72h,3,54.75,1,NA,AA
194,P.009,Heat-Selected,P,F,48h,3,44.0166667,1,2.641,AB
195,P.010,Heat-Selected,P,M,48h,3,41.6,1,2.353,AB
196,P.011,Heat-Selected,P,F,48h,3,43.4,1,2.591,AB
197,P.012,Heat-Selected,P,F,48h,3,51.5,1,2.72,AC
198,P.013,Heat-Selected,P,F,48h,3,41.3833333,1,2.806,AC
199,P.014,Heat-Selected,P,F,72h,3,42.4666667,1,2.773,AD
200,P.015,Heat-Selected,P,M,72h,3,62.3666667,1,2.453,AD
201,P.016,Heat-Selected,P,M,72h,3,45.7,1,2.426,AE
202,P.017,Heat-Selected,P,M,72h,3,41.5166667,1,NA,AE
203,P.018,Heat-Selected,P,M,72h,3,52.0666667,1,NA,AF
204,P.019,Heat-Selected,P,M,72h,3,64.8166667,1,NA,AF
205,P.020,Heat-Selected,P,M,72h,3,50.0166667,1,2.492,AG
206,P.021,Heat-Selected,P,F,72h,3,41.9833333,1,2.779,AG
207,P.022,Heat-Selected,P,M,72h,3,45.0333333,1,2.358,AH
208,P.023,Heat-Selected,P,F,72h,3,36.2833333,1,2.701,AH
209,P.024,Heat-Selected,P,M,72h,3,41.0666667,1,2.484,AI
210,P.025,Heat-Selected,P,F,72h,3,44.2833333,1,2.732,AI
211,P.026,Heat-Selected,P,M,72h,3,35.2333333,1,2.456,AJ
212,P.027,Heat-Selected,P,F,72h,3,49.1166667,1,2.683,AJ
213,P.028,Heat-Selected,P,M,72h,3,30.5333333,1,2.294,AK
214,P.029,Heat-Selected,P,F,72h,3,38.35,1,2.732,AK
215,P.030,Heat-Selected,P,M,72h,3,25.4,1,2.251,AL
216,P.031,Heat-Selected,P,F,72h,3,39.95,1,NA,AL
217,P.032,Heat-Selected,P,M,72h,3,45.3666667,1,2.466,AM
218,P.033,Heat-Selected,P,F,72h,3,49.4,1,2.753,AM
219,P.034,Heat-Selected,P,M,72h,3,47.3333333,1,NA,AN
220,P.035,Heat-Selected,P,F,72h,3,32.0166667,1,2.723,AN
221,P.036,Heat-Selected,P,M,72h,3,58,1,2.315,AO
222,P.037,Heat-Selected,P,F,72h,3,36.3833333,1,NA,AO
223,P.038,Heat-Selected,P,M,72h,3,47.7833333,1,2.452,AP
224,P.039,Heat-Selected,P,F,72h,3,47.05,1,NA,AP
225,P.040,Heat-Selected,P,F,72h,3,59.8166667,1,NA,AQ
226,P.041,Heat-Selected,P,F,72h,3,34.9,1,NA,AQ
227,P.042,Heat-Selected,P,F,72h,3,51.5833333,1,NA,AR
228,P.044,Heat-Selected,P,F,72h,3,40.95,1,NA,AS
229,P.045,Heat-Selected,P,F,72h,3,39.2833333,1,NA,AT
230,P.046,Heat-Selected,P,M,72h,3,21.8166667,1,NA,AU
231,P.047,Heat-Selected,P,F,72h,3,19.7833333,1,NA,AU
232,P.048,Heat-Selected,P,F,72h,3,33.05,1,NA,AU
233,P.049,Heat-Selected,P,F,72h,3,42.2833333,1,NA,AU
234,P.050,Heat-Selected,P,F,72h,3,20.8666667,1,NA,AU
